"SANT","Mortality"
"PLYLASMA","- Asthma"
"PLYLDIGE","Diseases of the digestive system"
"PLYLPEPT","- Peptic ulcer"
"PLYLCIRR","- Chronic liver diseases and cirrhosis"
"PLYLPEAU","Diseases of the skin and subcutaneous tissue"
"PLYLOSTE","Diseases of the musculoskeletal system and connective tissue"
"PLYLGENI","Diseases of the genitourinary system"
"PLYLGROS","Complications of pregnancy, childbirth and the puerperium"
"PLYLAFFE","Certain conditions originating in the perinatal period"
"PLYLCONG","Congenital malformations and chromosomal abnormalities"
"PLYLSYMP","Symptoms, signs, ill-defined causes"
"PLYLEXTC","External causes of mortality"
"PLYLACCD","- Accidents"
"PLYLTRAC","-- Transport accidents"
"PLYLCHUT","-- Accidental falls"
"PLYLPOSN","-- Accidental poisoning"
"PLYLHARM","- Intentional self-harm"
"PLYLHOCD","- Assault"
"MORB","Morbidity"
"SRHS","Perceived health status"
"SRHSFGHA","Health >= good, females, 15-24 years old"
"SRHSFGHB","Health >= good, females, 25-44 years old"
"SRHSFGHC","Health >= good, females, 45-64 years old"
"SRHSFGHD","Health >= good, females, 65 years old and over"
"SRHSFGHE","Health >= good, females, all ages"
"SRHSMGHA","Health >= good, males, 15-24 years old"
"SRHSMGHB","Health >= good, males, 25-44 years old"
"SRHSMGHC","Health >= good, males, 45-64 years old"
"SRHSMGHD","Health >= good, males, 65 years old and over"
"SRHSMGHE","Health >= good, males, all ages"
"SRHSTGHA","Health >= good, total, 15-24 years old"
"SRHSTGHB","Health >= good, total, 25-44 years old"
"SRHSTGHC","Health >= good, total, 45-64 years old"
"SRHSTGHD","Health >= good, total, 65 years old and over"
"SRHSTGHE","Health >= good, total, all ages"
"SREC","Perceived health status by income and education level"
"SRECGHQO","Health >= good, total aged 15+, Income quintile 1 (lowest)"
"SRECGHQV","Health >= good, total aged 15+, Income quintile 5 (highest)"
"SRECFE02","Health >= good, females aged 15+, Low education (ISCED 0, 1, 2)"
"SRECFE34","Health >= good, females aged 15+, Medium education (ISCED 3 and 4)"
"SRECFE56","Health >= good, females aged 15+, High education (ISCED 5 and 6)"
"SRECMA02","Health >= good, males aged 15+, Low education (ISCED 0, 1, 2)"
"SRECMA34","Health >= good, males aged 15+, Medium education (ISCED 3 and 4)"
"SRECMA56","Health >= good, males aged 15+, High education (ISCED 5 and 6)"
"SRECTO02","Health >= good, total aged 15+, Low education (ISCED 0, 1, 2)"
"SRECTO34","Health >= good, total aged 15+, Medium education (ISCED 3 and 4)"
"SRECTO56","Health >= good, total aged 15+, High education (ISCED 5 and 6)"
"INFA","Infant health"
"INFAPREM","Low birthweight"
"DENT","Dental health"
"DENTDMTF","Decayed-missing-filled teeth (DMFT)"
"COMD","Communicable diseases"
"COMDAIDS","Acquired immunodeficiency syndrome (AIDS)"
"COMDIPER","Incidence of pertussis"
"COMDIMEA","Incidence of measles"
"COMDIHPB","Incidence of hepatitis B"
"CANC","Cancer"
"CANCTOCA","Malignant neoplasms"
"CANCCOLC","Malignant neoplasms of colon"
"CANCLUNC","Malignant neoplasms of lung"
"CANCBREC","Malignant neoplasms of female breast"
"CANCCEIX","Malignant neoplasms of cervix"
"CANCPROC","Malignant neoplasms of prostate"
"INJR","Injuries"
"INJRACIR","Injuries in road traffic accidents"
"DISA","Absence from work due to illness"
"DISASRAB","Self-reported absence from work due to illness"
"DISACPAB","Compensated absence from work due to illness"
